timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-06 09:21:33,8,659468,348788,373992,132
2026-08-06 09:21:45,8,659468,349016,373992,132
2026-08-06 09:21:57,8,659468,349276,373992,132
2026-08-06 09:22:09,8,659468,349532,373992,132
2026-08-06 09:22:21,9,660492,349772,375016,132
2026-08-06 09:22:33,9,660492,349976,375016,132
2026-08-06 09:22:45,9,660492,350240,375016,132
2026-08-06 09:22:57,9,660492,350496,375016,132
2026-08-06 09:23:09,9,660492,350736,375016,132
2026-08-06 09:23:21,10,660492,351024,375016,132
2026-08-06 09:23:33,10,660492,351268,375016,132
2026-08-06 09:23:45,10,660636,351628,375160,132
2026-08-06 09:23:57,10,660780,352096,375304,132
2026-08-06 09:24:09,10,661804,352352,376328,132
2026-08-06 09:24:21,11,661804,352572,376328,132
2026-08-06 09:24:33,11,661804,352812,378376,132
2026-08-06 09:24:45,11,661804,353072,378376,132
2026-08-06 09:24:57,11,662008,353516,378580,132
2026-08-06 09:25:10,12,662008,353740,378580,132
2026-08-06 09:25:22,12,662008,354008,378580,132
2026-08-06 09:25:33,12,662008,354244,378580,132
2026-08-06 09:25:46,12,662008,354484,378580,132
2026-08-06 09:25:58,12,662192,357796,380692,132
2026-08-06 09:26:10,13,663216,358044,381716,132
2026-08-06 09:26:22,13,663216,358256,381716,132
2026-08-06 09:26:34,13,663216,358500,381716,132
2026-08-06 09:26:46,13,663216,358744,381716,132
2026-08-06 09:26:58,13,663352,359020,381852,132
2026-08-06 09:27:09,13,663544,359548,382044,132
2026-08-06 09:27:22,14,665592,361828,384092,132
2026-08-06 09:27:34,14,665592,362060,386140,132
2026-08-06 09:27:46,14,665592,362332,386140,132
2026-08-06 09:27:57,14,666616,362560,387164,132
2026-08-06 09:28:09,14,666772,362924,387320,132
2026-08-06 09:28:21,15,666772,363196,387320,132
2026-08-06 09:28:34,15,666980,363528,387528,132
2026-08-06 09:28:46,15,666980,363760,387528,132
2026-08-06 09:28:58,15,666980,364000,387528,132
2026-08-06 09:29:10,16,666980,364248,387528,132
2026-08-06 09:29:22,16,667136,364632,387684,132
2026-08-06 09:29:34,16,667136,364856,387684,132
2026-08-06 09:29:46,16,667136,365120,387684,132
2026-08-06 09:29:58,16,668160,365332,388708,132
2026-08-06 09:30:10,17,668160,365568,388708,132
2026-08-06 09:30:22,17,668160,365828,388708,132
2026-08-06 09:30:34,17,668348,366296,388896,132
2026-08-06 09:30:46,17,668348,366528,390944,132
2026-08-06 09:30:58,17,668348,366780,390944,132
2026-08-06 09:31:10,18,668348,367008,390944,132
2026-08-06 09:31:22,18,668504,367408,391100,132
2026-08-06 09:31:34,18,668504,367644,391100,132
2026-08-06 09:31:47,18,669528,367868,392124,132
2026-08-06 09:31:59,18,669716,368268,392312,132
2026-08-06 09:32:11,19,669716,368496,392312,132
2026-08-06 09:32:24,19,669716,368752,392312,132
2026-08-06 09:32:36,19,669716,369088,392312,132
2026-08-06 09:32:48,19,669716,369324,392312,132
2026-08-06 09:33:00,19,669852,369692,392448,132
2026-08-06 09:33:13,20,669852,369908,392448,132
2026-08-06 09:33:25,20,669852,370152,392448,132
2026-08-06 09:33:36,20,669852,370368,392448,132
2026-08-06 09:33:48,20,669852,370576,394496,132
2026-08-06 09:33:59,20,669852,370792,394496,132
2026-08-06 09:34:11,21,669852,371012,394496,132
2026-08-06 09:34:22,21,669852,371232,394496,132
2026-08-06 09:34:34,21,669852,371452,394496,132
2026-08-06 09:34:45,21,669852,371668,394496,132
2026-08-06 09:34:57,21,669852,371888,394496,132
2026-08-06 09:35:09,21,669852,372092,394496,132
2026-08-06 09:35:20,22,669852,372312,394496,132
2026-08-06 09:35:32,22,669852,372516,396544,132
2026-08-06 09:35:43,22,669852,372732,396544,132
2026-08-06 09:35:55,22,669852,372940,396544,132
2026-08-06 09:36:06,22,669852,373156,396544,132
2026-08-06 09:36:18,23,669852,373364,396544,132
2026-08-06 09:36:29,23,669852,373580,396544,132
2026-08-06 09:36:41,23,669852,373800,396544,132
2026-08-06 09:36:52,23,669852,374004,396544,132
2026-08-06 09:37:04,23,669852,374220,396544,132
2026-08-06 09:37:15,24,669852,374440,396544,132
2026-08-06 09:37:27,24,669852,374656,398592,132
2026-08-06 09:37:38,24,669852,374876,398592,132
2026-08-06 09:37:50,24,669852,375084,398592,132
2026-08-06 09:38:01,24,669852,375300,398592,132
